"#","GUID","Label","Dimension","Information Element","Description","Output Type","Resource Type","DQ Dimension","Warning Type","Source","Example Implementations (Mechanisms)","Test Prerequisites","References","Link to Specification Source Code","Notes"
"134","49a94636-a562-4e6b-803c-665c80628a3d","MEASURE_VALIDATIONTESTS_PREREQUISITESNOTMET","Measure","Measure:All AllDarwinCoreTerms","Number of tests of output type VALIDATION that did not run because prerequisites for those tests were not met (result.state of INTERNAL_PREREQUISITES_NOT_MET or EXTERNAL_PREREQUISITES_NOT_MET)","Measure","SingleRecord","Completeness","Report","TG2-Gainesville","7 tests were not run because prerequisites were not met","One or more validation test must have been attempted to have been run.","","","We have three individual measures for pass (#135), fail (#31), and prerequisites not met (#134). To get the total number of tests that were attempted, add all three measures. To get the total number of tests that ran, add pass and fail."
"132","eb0a44fa-241c-4d64-98df-ad4aa837307b","AMENDMENT_EVENTDATE_FROM_YEARSTARTDAYOFYEARENDDAYOFYEAR","Time","Time:Event dwc:endDayOfYear dwc:eventDatedwc:year dwc:startDayOfYear dwc:endDayOfYear","The value of dwc:eventDate was interpreted from the values in dwc:year, dwc:startDayOfYear and dwc:endDayOfYear","Amendment","SingleRecord","Completeness","Amended","TG2-Gainesville","dwc:year=""1999"", dwc:startDayOfYear=""123"", dwc:endDayOfYear=""125"" therefore dwc:eventDate=""1999-05-03/1999-05-05""","The field dwc:eventDate is EMPTY and at least dwc:year and one of dwc:startDayOfYear or dwc:endDayOfYear must not be EMPTY and must be interpretable.","","https://github.com/FilteredPush/event_date_qc/blob/4665e4d3b43ce7ddf319b3d7a5d3dbfee1411250/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java#L828   Unit Test at:  https://github.com/FilteredPush/event_date_qc/blob/96a8981d997cceb2f39ba47d63f0b98c1b56680c/src/test/java/org/filteredpush/qc/date/DwcEventDQTest.java#L402","An attempt to populate dwc:eventDate from dwc:verbatimEventDate should be made before this test is run.   While year=1999,startDayOfYear=123  could be validly represented as an ISO date as either 1999-123 or 1999-05-03, the latter of these two forms SHOULD be used, thus, do not simply concatenate year and startDayOfYear."
"131","9a39d88c-7eee-46df-b32a-c109f9f81fb8","VALIDATION_ENDDAYOFYEAR_OUTOFRANGE","Time","Time:Event dwc:endDayOfYear dwc:yeardwc:endDayOfYear","The value of dwc:endDayOfYear is a valid day given the year.","Validation","SingleRecord","Conformance","Invalid","TG2-Gainesville","dwc:endDayOfYear=""367"" with dwc:year=""2017""","The value of dwc:endDayOfYear is a number. If present dwc:year must be an integer. This test should be run after the test TG2-AMENDMENT_EVENT_FROM_EVENTDATE (#52)","http://rs.tdwg.org/dwc/terms/index.htm#endDayOfYear","https://github.com/FilteredPush/event_date_qc/blob/23e4139d7f0ef71736f7fc7e984cfd2d0bfea093/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java#L888  Unit test at https://github.com/FilteredPush/event_date_qc/blob/5f2e7b30f8a8076977b2a609e0318068db80599a/src/test/java/org/filteredpush/qc/date/DwcEventDQTest.java#L609","This test must take into account the given year, if present, to account for leap years. This is part of a group of similar tests (#125, #130, #131)."
"130","85803c7e-2a5a-42e1-b8d3-299a44cafc46","VALIDATION_STARTDAYOFYEAR_OUTOFRANGE","Time","Time:Event dwc:startDayOfYear dwc:yeardwc:startDayOfYear","The value of dwc:startDayOfYear is a valid day given the year.","Validation","SingleRecord","Conformance","Invalid","TG2-Gainesville","dwc:startDayOfYear=""451""; dwc:startDayOfYear=""366"" with dwc:year=""2017""","The value of dwc:startDayOfYear is a number. If present dwc:year must be an integer. This test should be run after the test TG2-AMENDMENT_EVENT_FROM_EVENTDATE (#52)","http://rs.tdwg.org/dwc/terms/index.htm#startDayOfYear","https://github.com/FilteredPush/event_date_qc/blob/23e4139d7f0ef71736f7fc7e984cfd2d0bfea093/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java#L832 Unit test at https://github.com/FilteredPush/event_date_qc/blob/5f2e7b30f8a8076977b2a609e0318068db80599a/src/test/java/org/filteredpush/qc/date/DwcEventDQTest.java#L609","This test must take into account the given year, if present, to account for leap years. This is part of a group of similar tests (#125, #130, #131)."
"129","baf2a90b-af45-4f1a-839f-47126743a48a","AMENDMENT_YEAR_STANDARDIZED","Time","Time:Event dwc:year","The value of dwc:year was interpreted to be a number between a designated minimum value and the current year, inclusive","Amendment","SingleRecord","Conformance","Amended","TG2-Gainesville","dwc:year=""MCMXVII""  amended to dwc:year=""1917""","The field dwc:year is not EMPTY.","http://rs.tdwg.org/dwc/terms/index.htm#year","",""
"128","2e371d57-1eb3-4fe3-8a61-dff43ced50cf","AMENDMENT_MONTH_STANDARDIZED","Time","Time:Event dwc:month","The value of dwc:month was interpreted to be a number between 1 and 12, inclusive","Amendment","SingleRecord","Conformance","Amended","TG2-Gainesville","dwc:month=""may""  amended to dwc:month=""5""","The field dwc:month is not EMPTY.","http://rs.tdwg.org/dwc/terms/index.htm#month","https://github.com/FilteredPush/event_date_qc/blob/f224e5a1e6db81bc6ca725f520dd06a71fcfb54e/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java#L1055 with unit test at https://github.com/FilteredPush/event_date_qc/blob/f224e5a1e6db81bc6ca725f520dd06a71fcfb54e/src/test/java/org/filteredpush/qc/date/DwcEventDQTest.java#L671 Internals of recognized string values (roman numerals, month names and abbreviations in multiple languages) use a combination of event_date_qc's DateUtils.cleanMonth() (see https://github.com/FilteredPush/event_date_qc/blob/23e4139d7f0ef71736f7fc7e984cfd2d0bfea093/src/main/java/org/filteredpush/qc/date/DateUtils.java#L2111  and Joda time's month recognition)",""
"127","b129fa4d-b25b-43f7-9645-5ed4d44b357b","AMENDMENT_DAY_STANDARDIZED","Time","Time:Event dwc:day","The value of dwc:day was interpreted to be a number between 1 and 31, inclusive","Amendment","SingleRecord","Conformance","Amended","TG2-Gainesville","dwc:day=""23rd""  amended to dwc:day=""23""","The field dwc:day is not EMPTY.","http://rs.tdwg.org/dwc/terms/index.htm#day","A potential minimal implementation is at: https://github.com/FilteredPush/event_date_qc/blob/238f234a4947b3c2820fb2fe3987326f9ead5e54/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java#L1114 unit test at  https://github.com/FilteredPush/event_date_qc/blob/238f234a4947b3c2820fb2fe3987326f9ead5e54/src/test/java/org/filteredpush/qc/date/DwcEventDQTest.java#L824",""
"126","01c6dafa-0886-4b7e-9881-2c3018c98bdc","VALIDATION_MONTH_OUTOFRANGE","Time","Time:Event dwc:month","The value of dwc:month is between 1 and 12, inclusive","Validation","SingleRecord","Conformance","Invalid","TG2-Gainesville (MONTH_INVALID/MONTH_IN_RANGE previously in spreadsheet, from ALA?)","dwc:month=""14""","The value of dwc:month is a number.","http://rs.tdwg.org/dwc/terms/index.htm#month","https://github.com/FilteredPush/event_date_qc/blob/1abbd3f02eb6c28129764defab78f72156972864/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java#L586 Unit test at https://github.com/FilteredPush/event_date_qc/blob/238f234a4947b3c2820fb2fe3987326f9ead5e54/src/test/java/org/filteredpush/qc/date/DwcEventDQTest.java#L117",""
"125","~~9f05540b-3783-4e0f-8e52-8d2a1f93d9d7~~  (looks like this is 5618f083-d55a-4ac2-92b5-b9fb227b832f in the supplemental sheet)","VALIDATION_DAY_OUTOFRANGE","Time","Time:Event dwc:year dwc:daydwc:month dwc:year","The value of dwc:day is a valid day given the month and year.","Validation","SingleRecord","Conformance","Invalid","TG2-Gainesville","dwc:day=""46""; dwc:day=""29"" with dwc:month=""2"" and dwc:year=""1900""","The value of dwc:day is a integer. If present, dwc:month and dwc:year must be integers.","http://rs.tdwg.org/dwc/terms/index.htm#day","","This test must take into account the given month and year, if present, to account for leap years. This is part of a group of similar tests (#125, #130, #131)."
"124","b0753f69-08c1-45f5-a5ca-48d24e76d813","MEASURE_EVENT_RANGEINSECONDS","Time","Time:Event dwc:eventTime dwc:eventDatedwc:day dwc:month dwc:year dwc:startDayOfYear dwc:endDayOfYear dwc:eventTime","Report on the length of the period expressed in the dwc:Event","Measure","SingleRecord","Resolution","Report","@godfoder","dwc:eventDate=""1880-05-08""  has a range of 86400 seconds.","The field dwc:eventDate contains a valid ISO 8601:2004(E) date.","","https://github.com/FilteredPush/event_date_qc/blob/1abbd3f02eb6c28129764defab78f72156972864/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java#L79","The length of a day is 86400 seconds. It is expected to run this test after the amendments to populate dwc:eventDate."
