"GUID","Label","Description","Specification","Type","Resource Type","Dimension","Information Element","Source","Example Implementation"
"b0753f69-08c1-45f5-a5ca-48d24e76d813","Event Date Duration In Seconds","Measure the duration of an event date in seconds.","For values of dwc:eventDate, calculate the duration in seconds.","Measure","SingleRecord","Precision","dwc:eventDate","Kurator","https://github.com/FilteredPush/event_date_qc/blob/master/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java"
"0a59e03f-ebb5-4df3-a802-2e444de525b5","Event Date Completeness","Measure the completeness of an event date.","For values of dwc:eventDate, check is not empty.","Measure","SingleRecord","Completeness","dwc:eventDate","Kurator","https://github.com/FilteredPush/event_date_qc/blob/master/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java"
"da63f836-1fc6-4e96-a612-fa76678cfd6a","Event Date and Verbatim Consistent","Test to see if the eventDate and verbatimEventDate are consistent.","If a dwc:eventDate is not empty and the verbatimEventDate is not empty compare the value of dwc:eventDate with that of dwc:verbatimEventDate, and assert Compliant if the two represent the same data or date range.","Validation","SingleRecord",,"dwc:eventDate, dwc:verbatimEventDate","Kurator","https://github.com/FilteredPush/event_date_qc/blob/master/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java"
"6d0a0c10-5e4a-4759-b448-88932f399812","Event Date From Verbatim","Populate the event date from the verbatim value.","If a dwc:eventDate is empty and the verbatimEventDate is not empty fill in dwc:eventDate based on value from dwc:verbatimEventDate.","Amendment","SingleRecord",,"dwc:eventDate, dwc:verbatimEventDate","Kurator","https://github.com/FilteredPush/event_date_qc/blob/master/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java"
"8cdd4f44-e7ed-4484-a1b8-4e6407a491e2","Event Date From Parts","Populate the event date from the verbatim and other atomic parts (day, month, year, etc).","If a dwc:eventDate is empty and the verbatimEventDate is not empty fill in dwc:eventDate based on value from dwc:verbatimEventDate, dwc:year dwc:month, dwc:day, dwc:start/endDayOfYear.","Amendment","SingleRecord",,"dwc:eventDate, dwc:verbatimEventDate, dwc:startDayOfYear, dwc:endDayOfYear, dwc:year, dwc:month, dwc:day","Kurator","https://github.com/FilteredPush/event_date_qc/blob/master/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java"
"e4ddf9bc-cd10-46cc-b307-d6c7233a240a","Event Date From non-Darwin Core start/end","Populate the event date from non-Darwin Core start date and end date terms.","If a dwc:eventDate is empty and an event date can be inferred from start date and end date, fill in dwc:eventDate based on the values in the start and end dates.  Will not propose a change if dwc:eventDate contains a value.","Amendment","SingleRecord",,"dwc:eventDate, dwc:startDate, dwc:endDate","Kurator","https://github.com/FilteredPush/event_date_qc/blob/master/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java"
"62a9c256-43e4-41ee-8938-d2d2e99479ef","Modified date correctly formatted","Test to see whether a provided dcterms:modified is a validly formated ISO date/time.","Compliant if dcterms:modified can to parsed to an explicit date/time, otherwise not compliant. Internal prerequisites not met if dcterms:modified is empty.","Validation","SingleRecord",,"dcterms:modified","Kurator","https://github.com/FilteredPush/event_date_qc/blob/master/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java"
"134c7b4f-1261-41ec-acb5-69cd4bc8556f","Event Date Format Correction","Try to propose a correction for an event date.","Check dwc:eventDate to see if it is empty or contains a valid date value. If it contains a value that is not a valid date, propose a properly formatted eventDate as an amendment.","Amendment","SingleRecord",,"dwc:eventDate","Kurator","https://github.com/FilteredPush/event_date_qc/blob/master/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java"
"367bf43f-9cb6-45b2-b45f-b8152f1d334a","Date Modified Format Correction","Try to propose a correction for a date modified","Check dcterms:modified to see if it is empty or contains a valid date value. If it contains a value that is not a valid date, propose a properly formatted dcterms:modified as an amendment.","Amendment","SingleRecord",,"dcterms:modified","Kurator","https://github.com/FilteredPush/event_date_qc/blob/master/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java"
"39bb2280-1215-447b-9221-fd13bc990641","Date Identified Format Correction","Try to propose a correction for a date identified","Check dwc:dateIdentified to see if it is empty or contains a valid date value. If it contains a value that is not a valid date, propose a properly formatted dwc:dateIdentified as an amendment.","Amendment","SingleRecord",,"dwc:dateIdentified","Kurator","https://github.com/FilteredPush/event_date_qc/blob/master/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java"
"48aa7d66-36d1-4662-a503-df170f11b03f","Day In Range","Test to see whether a provided day is an integer in the range of values that can be a day of a month.","Compliant if dwc:day is an integer in the range 1 to 31 inclusive, not compliant otherwise. Internal prerequisites not met if day is empty or an integer cannot be parsed from day.","Validation","SingleRecord",,"dwc:day","Kurator","https://github.com/FilteredPush/event_date_qc/blob/master/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java"
